backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method,time_backend,time_circuit,time_transpile,time_repr,time_noise,time_decode,total_time,mem_backend_MB,mem_circuit_MB,mem_transpile_MB,mem_repr_MB,mem_noise_MB,mem_decode_MB,mem_backend_full_MB,mem_circuit_full_MB,mem_transpile_full_MB,mem_repr_full_MB,mem_noise_full_MB,mem_decode_full_MB,peak_memory_MB,peak_memory_full_MB
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.006000,N/A,N/A,N/A,6.971133289043792,0.930500369053334,3.2655558009864762,2.588318667956628,1.5443462979746982,17297.65641888394,17312.96114071808,46.578435,46.689468,92.476496,92.476496,92.476496,107.543961,412.422144,419.577856,557.17888,557.273088,557.277184,568.844288,107.543961,568.844288
custom_grid,300,surface,bposd,11,11,1000,modsi1000,0.004,0.467000,N/A,N/A,N/A,0.41835621395148337,0.936682065948844,2.667334578000009,5.947142114979215,4.516977553023025,122539.84340701893,122554.33206945693,1.214873,3.319881,16.148028,16.148028,16.148028,103.972619,254.574592,265.465856,321.404928,321.47456,321.548288,407.527424,103.972619,407.527424
